"instruction","match_string","sim__disasm_format","imm_type","rd_used","rd_regfile{params_pkg::regfile_sel_e|REGFILE_SEL_}","rs1_used","rs1_regfile{params_pkg::regfile_sel_e|REGFILE_SEL_}","rs2_used","rs2_regfile{params_pkg::regfile_sel_e|REGFILE_SEL_}","rs3_used","rs3_regfile{params_pkg::regfile_sel_e|REGFILE_SEL_}","fu_sel{fu_pkg::function_unit_e|FUNCTION_UNIT_}","alu_funct","alu_addy_funct","alu_op1_sel","alu_op2_sel","fpu_opcode{fpnew_pkg::operation_e}","fpu_op_modifier","fpu_op0_sel","fpu_op1_sel","fpu_op2_sel","'branch_cond","'wb_active","'wb_source","'barr_load","'barr_sync","'yield","'mem_active","'mem_loadstore","'mem_opsize","'mem_store_source","'mem_extendmode","'is_jalr","'is_lr","'is_sc","'is_wdone"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'OP-type instructions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'Done signal (slti x0","x0","0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'WDONE","0000000_00000_00000_010_00000_00100","wdone","I",1,"I",0,"x",0,"x",0,"x","ALU","SLT","x","RS1","IMM","x","x","x","x","x","NEVER",1,"ALU",0,0,0,0,"x","x","x","x",0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'Floating non-FMA ADDMUL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FADD_S","0000000_?????_?????_???_?????_10100","fadd.s $d, $1, $2, $r","x",1,"F",1,"F",1,"F",0,"x","FPU","x","x","x","x","ADD",0,"x","RS1","RS2","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
"FSUB_S","0000100_?????_?????_???_?????_10100","fsub.s $d, $1, $2, $r","x",1,"F",1,"F",1,"F",0,"x","FPU","x","x","x","x","ADD",1,"x","RS1","RS2","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
"FMUL_S","0001000_?????_?????_???_?????_10100","fmul.s $d, $1, $2, $r","x",1,"F",1,"F",1,"F",0,"x","FPU","x","x","x","x","MUL",0,"RS1","RS2","x","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'Floating FMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FMADD_S","?????_00_?????_?????_???_?????_10000","fmadd.s $d, $1, $2, $3, $r","x",1,"F",1,"F",1,"F",1,"F","FPU","x","x","x","x","FMADD",0,"RS1","RS2","RS3","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
"FMSUB_S","?????_00_?????_?????_???_?????_10001","fmsub.s $d, $1, $2, $3, $r","x",1,"F",1,"F",1,"F",1,"F","FPU","x","x","x","x","FMADD",1,"RS1","RS2","RS3","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
